student_id,week_number,month,total_classes,attended_classes,percentage
8,6,September,25,18,72.0
8,7,September,25,17,68.0
8,8,September,21,13,61.9
8,9,October,23,15,65.22
8,10,October,18,10,55.56
8,11,October,20,10,50.0
8,12,October,18,10,55.56
8,13,November,19,10,52.63
8,14,November,22,10,45.45
9,1,August,24,21,87.5
9,2,August,21,18,85.71
9,3,August,19,17,89.47
9,4,August,18,16,88.89
9,5,September,19,17,89.47
9,6,September,21,19,90.48
9,7,September,22,20,90.91
9,8,September,25,23,92.0
9,9,October,22,20,90.91
9,10,October,18,16,88.89
9,11,October,22,20,90.91
9,12,October,18,16,88.89
9,13,November,19,17,89.47
9,14,November,25,23,92.0
10,1,August,18,9,50.0
10,2,August,22,13,59.09
10,3,August,23,14,60.87
10,4,August,22,14,63.64
10,5,September,23,16,69.57
10,6,September,18,12,66.67
10,7,September,22,16,72.73
10,8,September,21,15,71.43
10,9,October,25,18,72.0
10,10,October,25,20,80.0
10,11,October,25,19,76.0
10,12,October,19,15,78.95
10,13,November,22,19,86.36
10,14,November,25,21,84.0
11,1,August,19,12,63.16
11,2,August,24,16,66.67
11,3,August,21,15,71.43
11,4,August,25,17,68.0
11,5,September,23,17,73.91
11,6,September,25,18,72.0
11,7,September,23,17,73.91
11,8,September,23,18,78.26
11,9,October,21,17,80.95
11,10,October,21,17,80.95
11,11,October,22,18,81.82
11,12,October,20,17,85.0
11,13,November,20,18,90.0
11,14,November,24,21,87.5
12,1,August,20,17,85.0
12,2,August,25,22,88.0
12,3,August,20,17,85.0
12,4,August,19,17,89.47
12,5,September,22,19,86.36
12,6,September,20,17,85.0
12,7,September,23,20,86.96
12,8,September,21,18,85.71
12,9,October,21,19,90.48
12,10,October,18,15,83.33
12,11,October,20,17,85.0
12,12,October,23,20,86.96
12,13,November,21,18,85.71
12,14,November,19,17,89.47
13,1,August,24,20,83.33
13,2,August,22,18,81.82
13,3,August,23,19,82.61
13,4,August,22,17,77.27
13,5,September,23,18,78.26
13,6,September,18,14,77.78
13,7,September,20,15,75.0
13,8,September,18,13,72.22
13,9,October,25,18,72.0
13,10,October,20,14,70.0
13,11,October,20,14,70.0
13,12,October,25,16,64.0
13,13,November,20,13,65.0
13,14,November,21,13,61.9
14,1,August,19,16,84.21
14,2,August,18,16,88.89
14,3,August,22,18,81.82
14,4,August,20,18,90.0
14,5,September,20,17,85.0
14,6,September,21,19,90.48
14,7,September,25,22,88.0
14,8,September,20,17,85.0
14,9,October,22,19,86.36
14,10,October,21,18,85.71
14,11,October,25,22,88.0
14,12,October,25,22,88.0
14,13,November,23,19,82.61
14,14,November,24,21,87.5
15,1,August,20,14,70.0
15,2,August,22,15,68.18
15,3,August,23,16,69.57
15,4,August,20,14,70.0
15,5,September,22,16,72.73
15,6,September,19,15,78.95
15,7,September,22,17,77.27
15,8,September,23,18,78.26
15,9,October,21,18,85.71
15,10,October,20,16,80.0
15,11,October,23,19,82.61
15,12,October,20,17,85.0
15,13,November,20,17,85.0
15,14,November,19,16,84.21
16,1,August,22,20,90.91
16,2,August,18,15,83.33
16,3,August,20,17,85.0
16,4,August,24,19,79.17
16,5,September,19,16,84.21
16,6,September,23,19,82.61
16,7,September,21,18,85.71
16,8,September,20,17,85.0
16,9,October,24,20,83.33
16,10,October,22,19,86.36
16,11,October,20,17,85.0
16,12,October,18,15,83.33
16,13,November,20,16,80.0
16,14,November,18,14,77.78
17,1,August,20,16,80.0
17,2,August,20,16,80.0
17,3,August,21,15,71.43
17,4,August,21,16,76.19
17,5,September,20,15,75.0
17,6,September,18,12,66.67
17,7,September,20,14,70.0
17,8,September,24,16,66.67
17,9,October,18,11,61.11
17,10,October,22,14,63.64
17,11,October,18,11,61.11
17,12,October,24,14,58.33
17,13,November,21,12,57.14
17,14,November,25,14,56.0
18,1,August,18,16,88.89
18,2,August,25,24,96.0
18,3,August,21,19,90.48
18,4,August,24,22,91.67
18,5,September,19,17,89.47
18,6,September,18,16,88.89
18,7,September,24,22,91.67
18,8,September,22,20,90.91
18,9,October,24,22,91.67
18,10,October,20,19,95.0
18,11,October,23,21,91.3
18,12,October,21,19,90.48
18,13,November,24,22,91.67
18,14,November,21,19,90.48
19,1,August,24,22,91.67
19,2,August,20,18,90.0
19,3,August,21,19,90.48
19,4,August,20,18,90.0
19,5,September,24,22,91.67
19,6,September,20,18,90.0
19,7,September,21,19,90.48
19,8,September,24,23,95.83
19,9,October,18,16,88.89
19,10,October,24,21,87.5
19,11,October,19,17,89.47
19,12,October,19,18,94.74
19,13,November,19,18,94.74
19,14,November,24,22,91.67
20,1,August,20,17,85.0
20,2,August,22,18,81.82
20,3,August,20,17,85.0
20,4,August,22,18,81.82
20,5,September,22,17,77.27
20,6,September,22,17,77.27
20,7,September,21,15,71.43
20,8,September,18,13,72.22
20,9,October,20,14,70.0
20,10,October,19,13,68.42
20,11,October,20,13,65.0
20,12,October,23,15,65.22
20,13,November,23,15,65.22
20,14,November,18,11,61.11
21,1,August,25,21,84.0
21,2,August,18,15,83.33
21,3,August,20,16,80.0
21,4,August,20,15,75.0
21,5,September,23,17,73.91
21,6,September,21,15,71.43
21,7,September,24,16,66.67
21,8,September,20,13,65.0
21,9,October,22,13,59.09
21,10,October,18,11,61.11
21,11,October,22,11,50.0
21,12,October,23,11,47.83
21,13,November,25,11,44.0
21,14,November,23,9,39.13
22,1,August,24,15,62.5
22,2,August,22,13,59.09
22,3,August,21,14,66.67
22,4,August,20,13,65.0
22,5,September,19,13,68.42
22,6,September,19,13,68.42
22,7,September,20,14,70.0
22,8,September,21,15,71.43
22,9,October,25,19,76.0
22,10,October,24,19,79.17
22,11,October,20,16,80.0
22,12,October,25,20,80.0
22,13,November,25,21,84.0
22,14,November,24,20,83.33
23,1,August,24,22,91.67
23,2,August,21,18,85.71
23,3,August,18,16,88.89
23,4,August,19,17,89.47
23,5,September,18,16,88.89
23,6,September,23,21,91.3
23,7,September,25,23,92.0
23,8,September,22,20,90.91
23,9,October,22,20,90.91
23,10,October,24,22,91.67
23,11,October,23,22,95.65
23,12,October,19,17,89.47
23,13,November,21,19,90.48
23,14,November,21,19,90.48
24,1,August,23,20,86.96
24,2,August,18,16,88.89
24,3,August,18,16,88.89
24,4,August,19,17,89.47
24,5,September,19,16,84.21
24,6,September,23,21,91.3
24,7,September,22,19,86.36
24,8,September,20,17,85.0
24,9,October,22,19,86.36
24,10,October,18,16,88.89
24,11,October,25,22,88.0
24,12,October,25,22,88.0
24,13,November,19,17,89.47
24,14,November,21,18,85.71
25,1,August,20,17,85.0
25,2,August,22,17,77.27
25,3,August,24,19,79.17
25,4,August,18,14,77.78
25,5,September,24,18,75.0
25,6,September,20,14,70.0
25,7,September,18,11,61.11
25,8,September,24,15,62.5
25,9,October,24,14,58.33
25,10,October,18,10,55.56
25,11,October,23,12,52.17
25,12,October,18,8,44.44
25,13,November,20,10,50.0
25,14,November,19,8,42.11
26,1,August,19,17,89.47
26,2,August,21,19,90.48
26,3,August,23,21,91.3
26,4,August,21,19,90.48
26,5,September,24,22,91.67
26,6,September,20,17,85.0
26,7,September,20,18,90.0
26,8,September,19,17,89.47
26,9,October,25,23,92.0
26,10,October,20,18,90.0
26,11,October,25,22,88.0
26,12,October,24,21,87.5
26,13,November,20,18,90.0
26,14,November,18,16,88.89
27,1,August,24,14,58.33
27,2,August,21,14,66.67
27,3,August,18,12,66.67
27,4,August,22,15,68.18
27,5,September,22,15,68.18
27,6,September,24,17,70.83
27,7,September,18,13,72.22
27,8,September,25,18,72.0
27,9,October,24,18,75.0
27,10,October,20,16,80.0
27,11,October,20,16,80.0
27,12,October,22,18,81.82
27,13,November,23,19,82.61
27,14,November,20,16,80.0
28,1,August,19,16,84.21
28,2,August,22,19,86.36
28,3,August,25,21,84.0
28,4,August,24,21,87.5
28,5,September,22,19,86.36
28,6,September,18,16,88.89
28,7,September,19,17,89.47
28,8,September,25,22,88.0
28,9,October,18,16,88.89
28,10,October,18,16,88.89
28,11,October,24,21,87.5
28,12,October,20,18,90.0
28,13,November,19,16,84.21
28,14,November,25,21,84.0
29,1,August,22,19,86.36
29,2,August,22,19,86.36
29,3,August,21,17,80.95
29,4,August,25,20,80.0
29,5,September,22,19,86.36
29,6,September,22,19,86.36
29,7,September,22,19,86.36
29,8,September,25,21,84.0
29,9,October,21,18,85.71
29,10,October,21,19,90.48
29,11,October,20,18,90.0
29,12,October,18,15,83.33
29,13,November,19,17,89.47
29,14,November,18,15,83.33
30,1,August,24,19,79.17
30,2,August,18,14,77.78
30,3,August,18,14,77.78
30,4,August,18,14,77.78
30,5,September,20,15,75.0
30,6,September,24,18,75.0
30,7,September,25,18,72.0
30,8,September,22,16,72.73
30,9,October,19,12,63.16
30,10,October,25,17,68.0
30,11,October,21,14,66.67
30,12,October,21,13,61.9
30,13,November,21,12,57.14
30,14,November,19,12,63.16
31,1,August,18,15,83.33
31,2,August,18,15,83.33
31,3,August,24,19,79.17
31,4,August,22,17,77.27
31,5,September,19,14,73.68
31,6,September,23,16,69.57
31,7,September,24,16,66.67
31,8,September,18,11,61.11
31,9,October,25,15,60.0
31,10,October,24,13,54.17
31,11,October,21,11,52.38
31,12,October,22,11,50.0
31,13,November,25,13,52.0
31,14,November,24,11,45.83
32,1,August,24,20,83.33
32,2,August,24,20,83.33
32,3,August,20,17,85.0
32,4,August,20,17,85.0
32,5,September,21,19,90.48
32,6,September,19,16,84.21
32,7,September,21,19,90.48
32,8,September,22,18,81.82
32,9,October,19,16,84.21
32,10,October,20,17,85.0
32,11,October,24,20,83.33
32,12,October,24,20,83.33
32,13,November,19,17,89.47
32,14,November,21,18,85.71
33,1,August,25,24,96.0
33,2,August,22,21,95.45
33,3,August,23,21,91.3
33,4,August,21,19,90.48
33,5,September,24,23,95.83
33,6,September,25,23,92.0
33,7,September,24,23,95.83
33,8,September,18,16,88.89
33,9,October,18,17,94.44
33,10,October,22,21,95.45
33,11,October,23,21,91.3
33,12,October,21,19,90.48
33,13,November,23,21,91.3
33,14,November,19,18,94.74
34,1,August,25,15,60.0
34,2,August,19,12,63.16
34,3,August,24,15,62.5
34,4,August,20,13,65.0
34,5,September,21,14,66.67
34,6,September,19,13,68.42
34,7,September,25,18,72.0
34,8,September,24,17,70.83
34,9,October,22,17,77.27
34,10,October,23,18,78.26
34,11,October,18,14,77.78
34,12,October,25,20,80.0
34,13,November,19,16,84.21
34,14,November,21,18,85.71
35,1,August,22,14,63.64
35,2,August,20,13,65.0
35,3,August,21,14,66.67
35,4,August,19,13,68.42
35,5,September,22,16,72.73
35,6,September,22,16,72.73
35,7,September,24,17,70.83
35,8,September,25,19,76.0
35,9,October,25,19,76.0
35,10,October,18,15,83.33
35,11,October,24,20,83.33
35,12,October,18,15,83.33
35,13,November,18,15,83.33
35,14,November,23,20,86.96
36,1,August,23,20,86.96
36,2,August,18,16,88.89
36,3,August,21,18,85.71
36,4,August,18,16,88.89
36,5,September,21,19,90.48
36,6,September,24,20,83.33
36,7,September,20,18,90.0
36,8,September,23,20,86.96
36,9,October,20,18,90.0
36,10,October,24,21,87.5
36,11,October,20,17,85.0
36,12,October,18,16,88.89
36,13,November,19,17,89.47
36,14,November,19,17,89.47
37,1,August,24,23,95.83
37,2,August,23,21,91.3
37,3,August,21,20,95.24
37,4,August,18,17,94.44
37,5,September,22,20,90.91
37,6,September,25,23,92.0
37,7,September,22,20,90.91
37,8,September,21,19,90.48
37,9,October,18,17,94.44
37,10,October,19,17,89.47
37,11,October,24,21,87.5
37,12,October,23,21,91.3
37,13,November,25,22,88.0
37,14,November,24,23,95.83
38,1,August,20,13,65.0
38,2,August,19,12,63.16
38,3,August,25,16,64.0
38,4,August,25,17,68.0
38,5,September,20,14,70.0
38,6,September,19,13,68.42
38,7,September,19,14,73.68
38,8,September,21,15,71.43
38,9,October,18,14,77.78
38,10,October,20,16,80.0
38,11,October,22,17,77.27
38,12,October,21,17,80.95
38,13,November,23,19,82.61
38,14,November,22,18,81.82
39,1,August,21,18,85.71
39,2,August,19,16,84.21
39,3,August,25,22,88.0
39,4,August,22,19,86.36
39,5,September,24,21,87.5
39,6,September,25,22,88.0
39,7,September,18,15,83.33
39,8,September,23,21,91.3
39,9,October,19,17,89.47
39,10,October,21,18,85.71
39,11,October,18,16,88.89
39,12,October,21,18,85.71
39,13,November,21,19,90.48
39,14,November,22,19,86.36
40,1,August,25,22,88.0
40,2,August,21,17,80.95
40,3,August,22,18,81.82
40,4,August,24,20,83.33
40,5,September,23,17,73.91
40,6,September,22,17,77.27
40,7,September,22,16,72.73
40,8,September,21,15,71.43
40,9,October,20,14,70.0
40,10,October,22,16,72.73
40,11,October,24,17,70.83
40,12,October,24,16,66.67
40,13,November,23,15,65.22
40,14,November,24,15,62.5
41,1,August,24,16,66.67
41,2,August,23,15,65.22
41,3,August,19,13,68.42
41,4,August,20,13,65.0
41,5,September,21,15,71.43
41,6,September,21,16,76.19
41,7,September,21,16,76.19
41,8,September,24,19,79.17
41,9,October,22,17,77.27
41,10,October,18,14,77.78
41,11,October,24,20,83.33
41,12,October,23,19,82.61
41,13,November,23,19,82.61
41,14,November,24,21,87.5
42,1,August,20,18,90.0
42,2,August,19,18,94.74
42,3,August,18,16,88.89
42,4,August,19,18,94.74
42,5,September,25,23,92.0
42,6,September,19,17,89.47
42,7,September,21,19,90.48
42,8,September,18,16,88.89
42,9,October,25,22,88.0
42,10,October,24,21,87.5
42,11,October,21,18,85.71
42,12,October,19,17,89.47
42,13,November,20,18,90.0
42,14,November,19,17,89.47
43,1,August,19,16,84.21
43,2,August,22,17,77.27
43,3,August,22,16,72.73
43,4,August,21,15,71.43
43,5,September,20,14,70.0
43,6,September,23,14,60.87
43,7,September,20,13,65.0
43,8,September,24,14,58.33
43,9,October,24,13,54.17
43,10,October,20,10,50.0
43,11,October,24,11,45.83
43,12,October,19,8,42.11
43,13,November,25,9,36.0
43,14,November,19,7,36.84
44,1,August,21,18,85.71
44,2,August,24,21,87.5
44,3,August,22,19,86.36
44,4,August,23,20,86.96
44,5,September,24,21,87.5
44,6,September,25,21,84.0
44,7,September,18,16,88.89
44,8,September,18,15,83.33
44,9,October,18,16,88.89
44,10,October,23,18,78.26
44,11,October,20,17,85.0
44,12,October,19,16,84.21
44,13,November,19,16,84.21
44,14,November,18,15,83.33
45,1,August,18,16,88.89
45,2,August,20,18,90.0
45,3,August,24,21,87.5
45,4,August,18,16,88.89
45,5,September,20,18,90.0
45,6,September,19,17,89.47
45,7,September,23,20,86.96
45,8,September,22,19,86.36
45,9,October,22,19,86.36
45,10,October,24,21,87.5
45,11,October,19,17,89.47
45,12,October,25,22,88.0
45,13,November,22,19,86.36
45,14,November,23,20,86.96
46,1,August,18,16,88.89
46,2,August,21,18,85.71
46,3,August,22,17,77.27
46,4,August,18,15,83.33
46,5,September,22,18,81.82
46,6,September,23,17,73.91
46,7,September,18,13,72.22
46,8,September,18,13,72.22
46,9,October,21,13,61.9
46,10,October,18,12,66.67
46,11,October,24,14,58.33
46,12,October,22,13,59.09
46,13,November,24,14,58.33
46,14,November,20,11,55.0
47,1,August,25,17,68.0
47,2,August,23,16,69.57
47,3,August,24,16,66.67
47,4,August,24,19,79.17
47,5,September,24,19,79.17
47,6,September,21,17,80.95
47,7,September,24,19,79.17
47,8,September,23,19,82.61
47,9,October,21,19,90.48
47,10,October,20,18,90.0
47,11,October,19,17,89.47
47,12,October,24,21,87.5
47,13,November,24,22,91.67
47,14,November,19,18,94.74
48,1,August,18,16,88.89
48,2,August,24,21,87.5
48,3,August,20,17,85.0
48,4,August,21,19,90.48
48,5,September,22,19,86.36
48,6,September,24,20,83.33
48,7,September,25,22,88.0
48,8,September,21,18,85.71
48,9,October,23,20,86.96
48,10,October,22,18,81.82
48,11,October,21,18,85.71
48,12,October,21,18,85.71
48,13,November,23,19,82.61
48,14,November,22,19,86.36
49,1,August,18,15,83.33
49,2,August,18,15,83.33
49,3,August,18,14,77.78
49,4,August,20,16,80.0
49,5,September,22,17,77.27
49,6,September,18,13,72.22
49,7,September,20,15,75.0
49,8,September,22,16,72.73
49,9,October,20,14,70.0
49,10,October,19,13,68.42
49,11,October,21,14,66.67
49,12,October,18,12,66.67
49,13,November,25,17,68.0
49,14,November,25,14,56.0
50,1,August,21,20,95.24
50,2,August,25,23,92.0
50,3,August,22,21,95.45
50,4,August,21,20,95.24
50,5,September,20,19,95.0
50,6,September,19,18,94.74
50,7,September,23,22,95.65
50,8,September,23,22,95.65
50,9,October,21,19,90.48
50,10,October,25,23,92.0
50,11,October,24,22,91.67
50,12,October,19,18,94.74
50,13,November,18,17,94.44
50,14,November,21,20,95.24
51,1,August,20,19,95.0
51,2,August,23,21,91.3
51,3,August,24,22,91.67
51,4,August,19,17,89.47
51,5,September,19,18,94.74
51,6,September,22,20,90.91
51,7,September,21,19,90.48
51,8,September,20,18,90.0
51,9,October,22,21,95.45
51,10,October,19,17,89.47
51,11,October,25,22,88.0
51,12,October,23,21,91.3
51,13,November,23,20,86.96
51,14,November,18,16,88.89
52,1,August,19,18,94.74
52,2,August,24,23,95.83
52,3,August,23,22,95.65
52,4,August,21,20,95.24
52,5,September,18,17,94.44
52,6,September,25,24,96.0
52,7,September,18,17,94.44
52,8,September,24,22,91.67
52,9,October,24,22,91.67
52,10,October,22,21,95.45
52,11,October,22,20,90.91
52,12,October,18,16,88.89
52,13,November,25,24,96.0
52,14,November,18,17,94.44
53,1,August,24,20,83.33
53,2,August,20,17,85.0
53,3,August,20,16,80.0
53,4,August,21,16,76.19
53,5,September,20,15,75.0
53,6,September,25,17,68.0
53,7,September,19,12,63.16
53,8,September,23,15,65.22
53,9,October,22,12,54.55
53,10,October,25,14,56.0
53,11,October,23,13,56.52
53,12,October,18,9,50.0
53,13,November,23,11,47.83
53,14,November,19,8,42.11
54,1,August,22,18,81.82
54,2,August,24,20,83.33
54,3,August,25,20,80.0
54,4,August,22,16,72.73
54,5,September,24,18,75.0
54,6,September,23,17,73.91
54,7,September,24,18,75.0
54,8,September,18,12,66.67
54,9,October,21,13,61.9
54,10,October,19,13,68.42
54,11,October,21,13,61.9
54,12,October,24,16,66.67
54,13,November,20,12,60.0
54,14,November,18,11,61.11
55,1,August,21,19,90.48
55,2,August,23,20,86.96
55,3,August,24,19,79.17
55,4,August,25,20,80.0
55,5,September,21,16,76.19
55,6,September,19,13,68.42
55,7,September,22,15,68.18
55,8,September,21,15,71.43
55,9,October,21,14,66.67
55,10,October,19,13,68.42
55,11,October,18,11,61.11
55,12,October,22,13,59.09
55,13,November,21,11,52.38
55,14,November,18,9,50.0
56,1,August,23,21,91.3
56,2,August,22,20,90.91
56,3,August,22,18,81.82
56,4,August,23,18,78.26
56,5,September,23,18,78.26
56,6,September,24,18,75.0
56,7,September,20,14,70.0
56,8,September,23,17,73.91
56,9,October,19,13,68.42
56,10,October,25,16,64.0
56,11,October,18,10,55.56
56,12,October,24,14,58.33
56,13,November,19,11,57.89
56,14,November,19,10,52.63
57,1,August,19,12,63.16
57,2,August,19,13,68.42
57,3,August,18,12,66.67
57,4,August,21,14,66.67
57,5,September,19,14,73.68
57,6,September,23,17,73.91
57,7,September,22,17,77.27
57,8,September,25,20,80.0
57,9,October,18,14,77.78
57,10,October,24,19,79.17
57,11,October,18,15,83.33
57,12,October,22,18,81.82
57,13,November,19,17,89.47
57,14,November,19,16,84.21
58,1,August,22,19,86.36
58,2,August,20,17,85.0
58,3,August,23,19,82.61
58,4,August,22,17,77.27
58,5,September,21,17,80.95
58,6,September,25,20,80.0
58,7,September,20,15,75.0
58,8,September,18,14,77.78
58,9,October,25,18,72.0
58,10,October,25,18,72.0
58,11,October,23,16,69.57
58,12,October,24,17,70.83
58,13,November,22,15,68.18
58,14,November,20,14,70.0
59,1,August,23,21,91.3
59,2,August,20,19,95.0
59,3,August,18,17,94.44
59,4,August,21,19,90.48
59,5,September,24,22,91.67
59,6,September,23,21,91.3
59,7,September,23,22,95.65
59,8,September,19,18,94.74
59,9,October,24,23,95.83
59,10,October,21,19,90.48
59,11,October,20,19,95.0
59,12,October,22,20,90.91
59,13,November,23,21,91.3
59,14,November,25,23,92.0
60,1,August,20,17,85.0
60,2,August,23,21,91.3
60,3,August,22,19,86.36
60,4,August,18,15,83.33
60,5,September,18,15,83.33
60,6,September,20,18,90.0
60,7,September,18,15,83.33
60,8,September,18,15,83.33
60,9,October,18,15,83.33
60,10,October,23,20,86.96
60,11,October,20,17,85.0
60,12,October,19,15,78.95
60,13,November,20,17,85.0
60,14,November,20,16,80.0
61,1,August,24,20,83.33
61,2,August,18,15,83.33
61,3,August,24,18,75.0
61,4,August,25,19,76.0
61,5,September,18,14,77.78
61,6,September,23,16,69.57
61,7,September,19,13,68.42
61,8,September,18,13,72.22
61,9,October,24,16,66.67
61,10,October,22,14,63.64
61,11,October,19,12,63.16
61,12,October,23,13,56.52
61,13,November,20,12,60.0
61,14,November,18,10,55.56
62,1,August,22,13,59.09
62,2,August,25,14,56.0
62,3,August,24,15,62.5
62,4,August,19,13,68.42
62,5,September,25,17,68.0
62,6,September,23,16,69.57
62,7,September,22,15,68.18
62,8,September,20,14,70.0
62,9,October,19,13,68.42
62,10,October,22,16,72.73
62,11,October,24,19,79.17
62,12,October,21,17,80.95
62,13,November,22,18,81.82
62,14,November,19,15,78.95
63,1,August,23,20,86.96
63,2,August,23,19,82.61
63,3,August,18,15,83.33
63,4,August,18,15,83.33
63,5,September,25,21,84.0
63,6,September,18,15,83.33
63,7,September,25,21,84.0
63,8,September,24,18,75.0
63,9,October,24,18,75.0
63,10,October,23,17,73.91
63,11,October,24,17,70.83
63,12,October,20,14,70.0
63,13,November,22,15,68.18
63,14,November,24,17,70.83
64,1,August,25,21,84.0
64,2,August,23,18,78.26
64,3,August,20,15,75.0
64,4,August,21,17,80.95
64,5,September,19,13,68.42
64,6,September,22,15,68.18
64,7,September,18,12,66.67
64,8,September,19,12,63.16
64,9,October,19,11,57.89
64,10,October,20,12,60.0
64,11,October,25,13,52.0
64,12,October,22,11,50.0
64,13,November,19,10,52.63
64,14,November,18,9,50.0
65,1,August,20,17,85.0
65,2,August,21,18,85.71
65,3,August,21,18,85.71
65,4,August,20,17,85.0
65,5,September,20,15,75.0
65,6,September,24,19,79.17
65,7,September,20,16,80.0
65,8,September,22,16,72.73
65,9,October,19,14,73.68
65,10,October,23,17,73.91
65,11,October,24,16,66.67
65,12,October,20,14,70.0
65,13,November,25,17,68.0
65,14,November,24,16,66.67
66,1,August,19,17,89.47
66,2,August,23,20,86.96
66,3,August,22,19,86.36
66,4,August,24,20,83.33
66,5,September,19,16,84.21
66,6,September,20,16,80.0
66,7,September,21,16,76.19
66,8,September,18,14,77.78
66,9,October,19,14,73.68
66,10,October,19,14,73.68
66,11,October,19,13,68.42
66,12,October,21,15,71.43
66,13,November,21,14,66.67
66,14,November,20,14,70.0
67,1,August,18,15,83.33
67,2,August,25,20,80.0
67,3,August,24,19,79.17
67,4,August,21,16,76.19
67,5,September,21,16,76.19
67,6,September,20,15,75.0
67,7,September,25,18,72.0
67,8,September,18,13,72.22
67,9,October,20,14,70.0
67,10,October,18,12,66.67
67,11,October,22,15,68.18
67,12,October,22,14,63.64
67,13,November,21,13,61.9
67,14,November,18,11,61.11
68,1,August,20,17,85.0
68,2,August,18,15,83.33
68,3,August,19,16,84.21
68,4,August,24,21,87.5
68,5,September,25,22,88.0
68,6,September,21,18,85.71
68,7,September,22,19,86.36
68,8,September,19,16,84.21
68,9,October,23,19,82.61
68,10,October,18,16,88.89
68,11,October,19,16,84.21
68,12,October,20,17,85.0
68,13,November,24,20,83.33
68,14,November,20,17,85.0
69,1,August,19,18,94.74
69,2,August,18,16,88.89
69,3,August,24,23,95.83
69,4,August,24,22,91.67
69,5,September,20,18,90.0
69,6,September,21,18,85.71
69,7,September,25,23,92.0
69,8,September,18,16,88.89
69,9,October,20,18,90.0
69,10,October,20,19,95.0
69,11,October,22,20,90.91
69,12,October,23,22,95.65
69,13,November,19,18,94.74
69,14,November,20,18,90.0
70,1,August,22,13,59.09
70,2,August,23,15,65.22
70,3,August,20,13,65.0
70,4,August,21,14,66.67
70,5,September,24,16,66.67
70,6,September,24,17,70.83
70,7,September,23,16,69.57
70,8,September,21,16,76.19
70,9,October,22,17,77.27
70,10,October,21,16,76.19
70,11,October,19,15,78.95
70,12,October,24,19,79.17
70,13,November,22,17,77.27
70,14,November,19,16,84.21
71,1,August,19,18,94.74
71,2,August,20,19,95.0
71,3,August,19,18,94.74
71,4,August,25,23,92.0
71,5,September,24,23,95.83
71,6,September,25,23,92.0
71,7,September,18,17,94.44
71,8,September,23,22,95.65
71,9,October,22,21,95.45
71,10,October,24,23,95.83
71,11,October,18,17,94.44
71,12,October,25,23,92.0
71,13,November,20,19,95.0
71,14,November,20,18,90.0
72,1,August,22,14,63.64
72,2,August,22,15,68.18
