student_id,subject_name,exam_type,max_marks,obtained_marks,attempt_number
5,Electronics,MIDTERM,50.0,37.0,1
5,Electronics,FINAL,100.0,73.2,1
5,Data Structures,TEST1,20.0,13.2,1
5,Data Structures,TEST2,20.0,15.0,1
5,Data Structures,MIDTERM,50.0,33.1,1
5,Data Structures,FINAL,100.0,69.5,1
6,Mathematics,TEST1,20.0,15.8,1
6,Mathematics,TEST2,20.0,15.5,1
6,Mathematics,MIDTERM,50.0,39.5,1
6,Mathematics,FINAL,100.0,83.5,1
6,Data Structures,TEST1,20.0,13.9,1
6,Data Structures,TEST2,20.0,14.4,1
6,Data Structures,MIDTERM,50.0,35.5,1
6,Data Structures,FINAL,100.0,65.8,1
6,Electronics,TEST1,20.0,15.4,1
6,Electronics,TEST2,20.0,15.2,1
6,Electronics,MIDTERM,50.0,35.9,1
6,Electronics,FINAL,100.0,74.5,1
6,Programming,TEST1,20.0,15.5,1
6,Programming,TEST2,20.0,15.0,1
6,Programming,MIDTERM,50.0,37.3,1
6,Programming,FINAL,100.0,80.7,1
7,Programming,TEST1,20.0,13.8,1
7,Programming,TEST2,20.0,12.4,1
7,Programming,MIDTERM,50.0,21.4,1
7,Programming,FINAL,100.0,23.1,1
7,Electronics,TEST1,20.0,13.9,1
7,Electronics,TEST2,20.0,11.2,1
7,Electronics,MIDTERM,50.0,20.0,1
7,Electronics,FINAL,100.0,25.0,1
7,Data Structures,TEST1,20.0,12.8,1
7,Data Structures,TEST2,20.0,10.9,1
7,Data Structures,MIDTERM,50.0,20.3,1
7,Data Structures,FINAL,100.0,31.1,1
7,Engineering Fundamentals,TEST1,20.0,13.4,1
7,Engineering Fundamentals,TEST2,20.0,11.3,1
7,Engineering Fundamentals,MIDTERM,50.0,22.9,1
7,Engineering Fundamentals,FINAL,100.0,37.0,1
8,Data Structures,TEST1,20.0,13.5,1
8,Data Structures,TEST2,20.0,13.1,1
8,Data Structures,MIDTERM,50.0,20.9,1
8,Data Structures,FINAL,100.0,37.6,1
8,Electronics,TEST1,20.0,14.3,1
8,Electronics,TEST2,20.0,11.8,1
8,Electronics,MIDTERM,50.0,20.8,1
8,Electronics,FINAL,100.0,30.6,1
8,Communication Skills,TEST1,20.0,14.7,1
8,Communication Skills,TEST2,20.0,10.9,1
8,Communication Skills,MIDTERM,50.0,21.1,1
8,Communication Skills,FINAL,100.0,27.6,1
8,Programming,TEST1,20.0,14.4,1
8,Programming,TEST2,20.0,10.6,1
8,Programming,MIDTERM,50.0,20.5,1
8,Programming,FINAL,100.0,25.9,1
9,Mathematics,TEST1,20.0,13.6,1
9,Mathematics,TEST2,20.0,13.8,1
9,Mathematics,MIDTERM,50.0,33.3,1
9,Mathematics,FINAL,100.0,69.9,1
9,Communication Skills,TEST1,20.0,15.9,1
9,Communication Skills,TEST2,20.0,15.8,1
9,Communication Skills,MIDTERM,50.0,33.6,1
9,Communication Skills,FINAL,100.0,69.2,1
9,Electronics,TEST1,20.0,15.6,1
9,Electronics,TEST2,20.0,15.8,1
9,Electronics,MIDTERM,50.0,39.9,1
9,Electronics,FINAL,100.0,81.7,1
9,Engineering Fundamentals,TEST1,20.0,15.9,1
9,Engineering Fundamentals,TEST2,20.0,16.8,1
9,Engineering Fundamentals,MIDTERM,50.0,40.6,1
9,Engineering Fundamentals,FINAL,100.0,79.8,1
10,Programming,TEST1,20.0,10.1,1
10,Programming,TEST2,20.0,12.4,1
10,Programming,MIDTERM,50.0,37.1,1
10,Programming,FINAL,100.0,81.2,1
10,Electronics,TEST1,20.0,10.1,1
10,Electronics,TEST2,20.0,9.4,1
10,Electronics,MIDTERM,50.0,30.3,1
10,Electronics,FINAL,100.0,68.8,1
10,Mathematics,TEST1,20.0,9.7,1
10,Mathematics,TEST2,20.0,11.2,1
10,Mathematics,MIDTERM,50.0,34.8,1
10,Mathematics,FINAL,100.0,68.4,1
10,Data Structures,TEST1,20.0,9.5,1
10,Data Structures,TEST2,20.0,11.0,1
10,Data Structures,MIDTERM,50.0,33.0,1
10,Data Structures,FINAL,100.0,65.4,1
11,Communication Skills,TEST1,20.0,10.0,1
11,Communication Skills,TEST2,20.0,11.0,1
11,Communication Skills,MIDTERM,50.0,34.6,1
11,Communication Skills,FINAL,100.0,75.9,1
11,Engineering Fundamentals,TEST1,20.0,9.4,1
11,Engineering Fundamentals,TEST2,20.0,10.1,1
11,Engineering Fundamentals,MIDTERM,50.0,30.6,1
11,Engineering Fundamentals,FINAL,100.0,72.0,1
11,Mathematics,TEST1,20.0,8.8,1
11,Mathematics,TEST2,20.0,10.3,1
11,Mathematics,MIDTERM,50.0,29.2,1
11,Mathematics,FINAL,100.0,76.4,1
11,Electronics,TEST1,20.0,8.0,1
11,Electronics,TEST2,20.0,10.2,1
11,Electronics,MIDTERM,50.0,33.9,1
11,Electronics,FINAL,100.0,76.6,1
12,Electronics,TEST1,20.0,15.2,1
12,Electronics,TEST2,20.0,15.4,1
12,Electronics,MIDTERM,50.0,37.0,1
12,Electronics,FINAL,100.0,69.7,1
12,Engineering Fundamentals,TEST1,20.0,16.3,1
12,Engineering Fundamentals,TEST2,20.0,16.2,1
12,Engineering Fundamentals,MIDTERM,50.0,42.3,1
12,Engineering Fundamentals,FINAL,100.0,92.0,1
12,Mathematics,TEST1,20.0,14.4,1
12,Mathematics,TEST2,20.0,16.1,1
12,Mathematics,MIDTERM,50.0,40.1,1
12,Mathematics,FINAL,100.0,80.7,1
12,Communication Skills,TEST1,20.0,15.3,1
12,Communication Skills,TEST2,20.0,16.5,1
12,Communication Skills,MIDTERM,50.0,39.7,1
12,Communication Skills,FINAL,100.0,70.9,1
13,Electronics,TEST1,20.0,14.6,1
13,Electronics,TEST2,20.0,13.3,1
13,Electronics,MIDTERM,50.0,30.2,1
13,Electronics,FINAL,100.0,56.3,1
13,Programming,TEST1,20.0,15.6,1
13,Programming,TEST2,20.0,14.8,1
13,Programming,MIDTERM,50.0,31.2,1
13,Programming,FINAL,100.0,52.8,1
13,Data Structures,TEST1,20.0,14.8,1
13,Data Structures,TEST2,20.0,14.7,1
13,Data Structures,MIDTERM,50.0,29.0,1
13,Data Structures,FINAL,100.0,56.8,1
13,Engineering Fundamentals,TEST1,20.0,13.8,1
13,Engineering Fundamentals,TEST2,20.0,12.3,1
13,Engineering Fundamentals,MIDTERM,50.0,29.0,1
13,Engineering Fundamentals,FINAL,100.0,50.0,1
14,Programming,TEST1,20.0,12.1,1
14,Programming,TEST2,20.0,9.9,1
14,Programming,MIDTERM,50.0,16.2,1
14,Programming,FINAL,100.0,21.4,1
14,Electronics,TEST1,20.0,13.0,1
14,Electronics,TEST2,20.0,10.1,1
14,Electronics,MIDTERM,50.0,19.3,1
14,Electronics,FINAL,100.0,27.9,1
14,Engineering Fundamentals,TEST1,20.0,12.6,1
14,Engineering Fundamentals,TEST2,20.0,9.9,1
14,Engineering Fundamentals,MIDTERM,50.0,18.7,1
14,Engineering Fundamentals,FINAL,100.0,26.0,1
14,Communication Skills,TEST1,20.0,11.8,1
14,Communication Skills,TEST2,20.0,8.3,1
14,Communication Skills,MIDTERM,50.0,17.3,1
14,Communication Skills,FINAL,100.0,19.7,1
15,Data Structures,TEST1,20.0,11.2,1
15,Data Structures,TEST2,20.0,13.0,1
15,Data Structures,MIDTERM,50.0,36.8,1
15,Data Structures,FINAL,100.0,78.5,1
15,Engineering Fundamentals,TEST1,20.0,11.2,1
15,Engineering Fundamentals,TEST2,20.0,12.9,1
15,Engineering Fundamentals,MIDTERM,50.0,35.6,1
15,Engineering Fundamentals,FINAL,100.0,84.5,1
15,Communication Skills,TEST1,20.0,10.0,1
15,Communication Skills,TEST2,20.0,13.1,1
15,Communication Skills,MIDTERM,50.0,33.9,1
15,Communication Skills,FINAL,100.0,78.5,1
15,Electronics,TEST1,20.0,10.2,1
15,Electronics,TEST2,20.0,12.5,1
15,Electronics,MIDTERM,50.0,36.6,1
15,Electronics,FINAL,100.0,86.0,1
16,Engineering Fundamentals,TEST1,20.0,17.0,1
16,Engineering Fundamentals,TEST2,20.0,16.0,1
16,Engineering Fundamentals,MIDTERM,50.0,42.6,1
16,Engineering Fundamentals,FINAL,100.0,81.6,1
16,Electronics,TEST1,20.0,13.2,1
16,Electronics,TEST2,20.0,14.5,1
16,Electronics,MIDTERM,50.0,39.0,1
16,Electronics,FINAL,100.0,74.5,1
16,Programming,TEST1,20.0,16.5,1
16,Programming,TEST2,20.0,16.0,1
16,Programming,MIDTERM,50.0,44.5,1
16,Programming,FINAL,100.0,80.3,1
16,Mathematics,TEST1,20.0,16.5,1
16,Mathematics,TEST2,20.0,16.6,1
16,Mathematics,MIDTERM,50.0,43.7,1
16,Mathematics,FINAL,100.0,84.7,1
17,Programming,TEST1,20.0,15.1,1
17,Programming,TEST2,20.0,13.7,1
17,Programming,MIDTERM,50.0,31.2,1
17,Programming,FINAL,100.0,54.9,1
17,Data Structures,TEST1,20.0,13.7,1
17,Data Structures,TEST2,20.0,14.2,1
17,Data Structures,MIDTERM,50.0,28.8,1
17,Data Structures,FINAL,100.0,52.7,1
17,Engineering Fundamentals,TEST1,20.0,14.6,1
17,Engineering Fundamentals,TEST2,20.0,13.4,1
17,Engineering Fundamentals,MIDTERM,50.0,32.1,1
17,Engineering Fundamentals,FINAL,100.0,59.7,1
17,Electronics,TEST1,20.0,16.0,1
17,Electronics,TEST2,20.0,14.5,1
17,Electronics,MIDTERM,50.0,33.1,1
17,Electronics,FINAL,100.0,61.0,1
18,Data Structures,TEST1,20.0,14.7,1
18,Data Structures,TEST2,20.0,14.9,1
18,Data Structures,MIDTERM,50.0,36.9,1
18,Data Structures,FINAL,100.0,76.9,1
18,Communication Skills,TEST1,20.0,15.6,1
18,Communication Skills,TEST2,20.0,16.0,1
18,Communication Skills,MIDTERM,50.0,36.4,1
18,Communication Skills,FINAL,100.0,76.7,1
18,Engineering Fundamentals,TEST1,20.0,16.7,1
18,Engineering Fundamentals,TEST2,20.0,17.6,1
18,Engineering Fundamentals,MIDTERM,50.0,40.8,1
18,Engineering Fundamentals,FINAL,100.0,80.6,1
18,Programming,TEST1,20.0,16.2,1
18,Programming,TEST2,20.0,17.8,1
18,Programming,MIDTERM,50.0,41.2,1
18,Programming,FINAL,100.0,83.5,1
19,Programming,TEST1,20.0,13.6,1
19,Programming,TEST2,20.0,11.7,1
19,Programming,MIDTERM,50.0,22.4,1
19,Programming,FINAL,100.0,33.9,1
19,Engineering Fundamentals,TEST1,20.0,14.2,1
19,Engineering Fundamentals,TEST2,20.0,11.0,1
19,Engineering Fundamentals,MIDTERM,50.0,21.1,1
19,Engineering Fundamentals,FINAL,100.0,23.0,1
19,Communication Skills,TEST1,20.0,12.4,1
19,Communication Skills,TEST2,20.0,10.9,1
19,Communication Skills,MIDTERM,50.0,17.8,1
19,Communication Skills,FINAL,100.0,25.3,1
19,Data Structures,TEST1,20.0,13.1,1
19,Data Structures,TEST2,20.0,11.5,1
19,Data Structures,MIDTERM,50.0,22.7,1
19,Data Structures,FINAL,100.0,36.2,1
20,Electronics,TEST1,20.0,14.6,1
20,Electronics,TEST2,20.0,12.7,1
20,Electronics,MIDTERM,50.0,31.7,1
20,Electronics,FINAL,100.0,54.0,1
20,Programming,TEST1,20.0,15.7,1
20,Programming,TEST2,20.0,13.8,1
20,Programming,MIDTERM,50.0,32.4,1
20,Programming,FINAL,100.0,52.8,1
20,Data Structures,TEST1,20.0,15.3,1
20,Data Structures,TEST2,20.0,14.0,1
20,Data Structures,MIDTERM,50.0,31.5,1
20,Data Structures,FINAL,100.0,57.8,1
20,Communication Skills,TEST1,20.0,15.9,1
20,Communication Skills,TEST2,20.0,12.7,1
20,Communication Skills,MIDTERM,50.0,30.7,1
20,Communication Skills,FINAL,100.0,56.5,1
21,Engineering Fundamentals,TEST1,20.0,12.2,1
21,Engineering Fundamentals,TEST2,20.0,10.1,1
21,Engineering Fundamentals,MIDTERM,50.0,15.7,1
21,Engineering Fundamentals,FINAL,100.0,19.5,1
21,Mathematics,TEST1,20.0,13.8,1
21,Mathematics,TEST2,20.0,11.6,1
21,Mathematics,MIDTERM,50.0,21.1,1
21,Mathematics,FINAL,100.0,26.1,1
21,Communication Skills,TEST1,20.0,12.4,1
21,Communication Skills,TEST2,20.0,11.2,1
21,Communication Skills,MIDTERM,50.0,20.1,1
21,Communication Skills,FINAL,100.0,22.4,1
21,Programming,TEST1,20.0,13.4,1
21,Programming,TEST2,20.0,10.0,1
21,Programming,MIDTERM,50.0,19.2,1
21,Programming,FINAL,100.0,29.8,1
22,Data Structures,TEST1,20.0,10.8,1
22,Data Structures,TEST2,20.0,13.1,1
22,Data Structures,MIDTERM,50.0,38.8,1
22,Data Structures,FINAL,100.0,91.6,1
22,Communication Skills,TEST1,20.0,10.5,1
22,Communication Skills,TEST2,20.0,12.4,1
22,Communication Skills,MIDTERM,50.0,34.6,1
22,Communication Skills,FINAL,100.0,84.8,1
22,Programming,TEST1,20.0,10.3,1
22,Programming,TEST2,20.0,12.4,1
22,Programming,MIDTERM,50.0,37.1,1
22,Programming,FINAL,100.0,81.4,1
22,Mathematics,TEST1,20.0,10.4,1
22,Mathematics,TEST2,20.0,11.1,1
22,Mathematics,MIDTERM,50.0,33.7,1
22,Mathematics,FINAL,100.0,85.5,1
23,Programming,TEST1,20.0,16.6,1
23,Programming,TEST2,20.0,17.7,1
23,Programming,MIDTERM,50.0,40.6,1
23,Programming,FINAL,100.0,82.7,1
23,Electronics,TEST1,20.0,13.6,1
23,Electronics,TEST2,20.0,12.6,1
23,Electronics,MIDTERM,50.0,31.8,1
23,Electronics,FINAL,100.0,65.4,1
23,Engineering Fundamentals,TEST1,20.0,13.2,1
23,Engineering Fundamentals,TEST2,20.0,12.6,1
23,Engineering Fundamentals,MIDTERM,50.0,35.9,1
23,Engineering Fundamentals,FINAL,100.0,66.7,1
23,Mathematics,TEST1,20.0,13.9,1
23,Mathematics,TEST2,20.0,13.0,1
23,Mathematics,MIDTERM,50.0,31.8,1
23,Mathematics,FINAL,100.0,74.4,1
24,Data Structures,TEST1,20.0,14.1,1
24,Data Structures,TEST2,20.0,10.7,1
24,Data Structures,MIDTERM,50.0,23.7,1
24,Data Structures,FINAL,100.0,36.2,1
24,Engineering Fundamentals,TEST1,20.0,11.9,1
24,Engineering Fundamentals,TEST2,20.0,10.5,1
24,Engineering Fundamentals,MIDTERM,50.0,19.1,1
24,Engineering Fundamentals,FINAL,100.0,25.1,1
24,Programming,TEST1,20.0,13.0,1
24,Programming,TEST2,20.0,11.4,1
24,Programming,MIDTERM,50.0,22.4,1
24,Programming,FINAL,100.0,32.7,1
24,Electronics,TEST1,20.0,12.3,1
24,Electronics,TEST2,20.0,10.7,1
24,Electronics,MIDTERM,50.0,21.2,1
24,Electronics,FINAL,100.0,31.2,1
25,Mathematics,TEST1,20.0,12.9,1
25,Mathematics,TEST2,20.0,10.0,1
25,Mathematics,MIDTERM,50.0,18.7,1
25,Mathematics,FINAL,100.0,22.5,1
25,Electronics,TEST1,20.0,14.3,1
25,Electronics,TEST2,20.0,12.5,1
25,Electronics,MIDTERM,50.0,22.6,1
25,Electronics,FINAL,100.0,25.3,1
25,Communication Skills,TEST1,20.0,14.0,1
25,Communication Skills,TEST2,20.0,10.2,1
25,Communication Skills,MIDTERM,50.0,22.1,1
25,Communication Skills,FINAL,100.0,24.7,1
25,Programming,TEST1,20.0,13.6,1
25,Programming,TEST2,20.0,11.0,1
25,Programming,MIDTERM,50.0,20.2,1
25,Programming,FINAL,100.0,24.9,1
26,Electronics,TEST1,20.0,16.3,1
26,Electronics,TEST2,20.0,16.5,1
26,Electronics,MIDTERM,50.0,41.5,1
26,Electronics,FINAL,100.0,86.8,1
26,Programming,TEST1,20.0,17.7,1
26,Programming,TEST2,20.0,14.9,1
26,Programming,MIDTERM,50.0,36.8,1
26,Programming,FINAL,100.0,80.7,1
26,Communication Skills,TEST1,20.0,17.2,1
26,Communication Skills,TEST2,20.0,16.6,1
26,Communication Skills,MIDTERM,50.0,40.9,1
26,Communication Skills,FINAL,100.0,82.3,1
26,Data Structures,TEST1,20.0,16.7,1
26,Data Structures,TEST2,20.0,16.7,1
26,Data Structures,MIDTERM,50.0,43.0,1
26,Data Structures,FINAL,100.0,83.3,1
27,Communication Skills,TEST1,20.0,11.2,1
27,Communication Skills,TEST2,20.0,13.8,1
27,Communication Skills,MIDTERM,50.0,36.1,1
27,Communication Skills,FINAL,100.0,89.5,1
27,Electronics,TEST1,20.0,10.7,1
27,Electronics,TEST2,20.0,11.8,1
27,Electronics,MIDTERM,50.0,37.9,1
27,Electronics,FINAL,100.0,81.4,1
27,Programming,TEST1,20.0,10.2,1
27,Programming,TEST2,20.0,13.5,1
27,Programming,MIDTERM,50.0,35.9,1
27,Programming,FINAL,100.0,88.7,1
27,Engineering Fundamentals,TEST1,20.0,8.9,1
27,Engineering Fundamentals,TEST2,20.0,11.5,1
27,Engineering Fundamentals,MIDTERM,50.0,32.7,1
27,Engineering Fundamentals,FINAL,100.0,80.6,1
28,Programming,TEST1,20.0,16.4,1
28,Programming,TEST2,20.0,15.6,1
28,Programming,MIDTERM,50.0,38.5,1
28,Programming,FINAL,100.0,80.5,1
28,Engineering Fundamentals,TEST1,20.0,15.9,1
28,Engineering Fundamentals,TEST2,20.0,17.0,1
28,Engineering Fundamentals,MIDTERM,50.0,42.6,1
28,Engineering Fundamentals,FINAL,100.0,84.0,1
28,Mathematics,TEST1,20.0,17.5,1
28,Mathematics,TEST2,20.0,16.5,1
28,Mathematics,MIDTERM,50.0,44.5,1
28,Mathematics,FINAL,100.0,90.8,1
28,Electronics,TEST1,20.0,15.7,1
28,Electronics,TEST2,20.0,16.5,1
28,Electronics,MIDTERM,50.0,40.3,1
28,Electronics,FINAL,100.0,77.8,1
29,Programming,TEST1,20.0,13.5,1
29,Programming,TEST2,20.0,14.2,1
29,Programming,MIDTERM,50.0,34.5,1
29,Programming,FINAL,100.0,66.5,1
29,Electronics,TEST1,20.0,16.9,1
29,Electronics,TEST2,20.0,17.2,1
29,Electronics,MIDTERM,50.0,42.5,1
29,Electronics,FINAL,100.0,81.5,1
29,Communication Skills,TEST1,20.0,15.4,1
29,Communication Skills,TEST2,20.0,16.1,1
29,Communication Skills,MIDTERM,50.0,39.7,1
29,Communication Skills,FINAL,100.0,69.0,1
29,Mathematics,TEST1,20.0,17.1,1
29,Mathematics,TEST2,20.0,17.8,1
29,Mathematics,MIDTERM,50.0,43.6,1
29,Mathematics,FINAL,100.0,82.7,1
30,Programming,TEST1,20.0,13.8,1
30,Programming,TEST2,20.0,12.7,1
30,Programming,MIDTERM,50.0,27.1,1
30,Programming,FINAL,100.0,43.9,1
30,Electronics,TEST1,20.0,14.9,1
30,Electronics,TEST2,20.0,13.5,1
30,Electronics,MIDTERM,50.0,29.6,1
30,Electronics,FINAL,100.0,59.8,1
30,Data Structures,TEST1,20.0,14.2,1
30,Data Structures,TEST2,20.0,12.6,1
30,Data Structures,MIDTERM,50.0,32.6,1
30,Data Structures,FINAL,100.0,49.2,1
30,Communication Skills,TEST1,20.0,16.2,1
30,Communication Skills,TEST2,20.0,14.4,1
30,Communication Skills,MIDTERM,50.0,30.6,1
30,Communication Skills,FINAL,100.0,53.3,1
31,Electronics,TEST1,20.0,13.3,1
31,Electronics,TEST2,20.0,11.5,1
31,Electronics,MIDTERM,50.0,21.9,1
31,Electronics,FINAL,100.0,38.4,1
31,Engineering Fundamentals,TEST1,20.0,14.5,1
31,Engineering Fundamentals,TEST2,20.0,11.7,1
31,Engineering Fundamentals,MIDTERM,50.0,25.8,1
31,Engineering Fundamentals,FINAL,100.0,37.7,1
31,Communication Skills,TEST1,20.0,12.8,1
31,Communication Skills,TEST2,20.0,10.8,1
31,Communication Skills,MIDTERM,50.0,21.7,1
31,Communication Skills,FINAL,100.0,26.1,1
31,Data Structures,TEST1,20.0,13.1,1
31,Data Structures,TEST2,20.0,10.3,1
31,Data Structures,MIDTERM,50.0,17.1,1
31,Data Structures,FINAL,100.0,25.2,1
32,Engineering Fundamentals,TEST1,20.0,15.6,1
32,Engineering Fundamentals,TEST2,20.0,15.4,1
32,Engineering Fundamentals,MIDTERM,50.0,38.7,1
32,Engineering Fundamentals,FINAL,100.0,76.4,1
32,Programming,TEST1,20.0,15.4,1
32,Programming,TEST2,20.0,15.1,1
32,Programming,MIDTERM,50.0,39.5,1
32,Programming,FINAL,100.0,75.1,1
32,Mathematics,TEST1,20.0,13.1,1
32,Mathematics,TEST2,20.0,13.5,1
32,Mathematics,MIDTERM,50.0,33.9,1
32,Mathematics,FINAL,100.0,62.7,1
32,Electronics,TEST1,20.0,16.1,1
32,Electronics,TEST2,20.0,15.7,1
32,Electronics,MIDTERM,50.0,40.5,1
32,Electronics,FINAL,100.0,74.3,1
33,Data Structures,TEST1,20.0,14.5,1
33,Data Structures,TEST2,20.0,13.7,1
33,Data Structures,MIDTERM,50.0,40.3,1
33,Data Structures,FINAL,100.0,70.6,1
33,Programming,TEST1,20.0,13.1,1
33,Programming,TEST2,20.0,13.3,1
33,Programming,MIDTERM,50.0,34.4,1
33,Programming,FINAL,100.0,69.9,1
33,Electronics,TEST1,20.0,15.6,1
33,Electronics,TEST2,20.0,15.7,1
33,Electronics,MIDTERM,50.0,38.8,1
33,Electronics,FINAL,100.0,78.0,1
33,Communication Skills,TEST1,20.0,15.0,1
33,Communication Skills,TEST2,20.0,15.6,1
33,Communication Skills,MIDTERM,50.0,40.2,1
33,Communication Skills,FINAL,100.0,73.4,1
34,Electronics,TEST1,20.0,10.6,1
34,Electronics,TEST2,20.0,13.6,1
34,Electronics,MIDTERM,50.0,38.2,1
34,Electronics,FINAL,100.0,84.5,1
34,Mathematics,TEST1,20.0,9.4,1
34,Mathematics,TEST2,20.0,11.0,1
34,Mathematics,MIDTERM,50.0,30.5,1
34,Mathematics,FINAL,100.0,68.5,1
34,Engineering Fundamentals,TEST1,20.0,11.0,1
34,Engineering Fundamentals,TEST2,20.0,13.2,1
34,Engineering Fundamentals,MIDTERM,50.0,38.2,1
34,Engineering Fundamentals,FINAL,100.0,91.4,1
34,Communication Skills,TEST1,20.0,11.3,1
34,Communication Skills,TEST2,20.0,11.8,1
34,Communication Skills,MIDTERM,50.0,35.8,1
34,Communication Skills,FINAL,100.0,81.8,1
35,Mathematics,TEST1,20.0,10.6,1
35,Mathematics,TEST2,20.0,11.8,1
35,Mathematics,MIDTERM,50.0,33.0,1
35,Mathematics,FINAL,100.0,74.9,1
35,Communication Skills,TEST1,20.0,8.8,1
35,Communication Skills,TEST2,20.0,10.6,1
35,Communication Skills,MIDTERM,50.0,31.9,1
35,Communication Skills,FINAL,100.0,70.2,1
35,Electronics,TEST1,20.0,10.5,1
35,Electronics,TEST2,20.0,12.1,1
35,Electronics,MIDTERM,50.0,33.9,1
35,Electronics,FINAL,100.0,75.1,1
35,Data Structures,TEST1,20.0,8.8,1
35,Data Structures,TEST2,20.0,11.5,1
35,Data Structures,MIDTERM,50.0,32.0,1
35,Data Structures,FINAL,100.0,70.7,1
36,Electronics,TEST1,20.0,16.4,1
36,Electronics,TEST2,20.0,17.0,1
36,Electronics,MIDTERM,50.0,41.1,1
36,Electronics,FINAL,100.0,79.9,1
36,Programming,TEST1,20.0,17.2,1
36,Programming,TEST2,20.0,16.3,1
36,Programming,MIDTERM,50.0,39.8,1
36,Programming,FINAL,100.0,83.2,1
36,Engineering Fundamentals,TEST1,20.0,15.3,1
36,Engineering Fundamentals,TEST2,20.0,15.0,1
36,Engineering Fundamentals,MIDTERM,50.0,36.3,1
36,Engineering Fundamentals,FINAL,100.0,74.0,1
36,Communication Skills,TEST1,20.0,14.7,1
36,Communication Skills,TEST2,20.0,13.5,1
36,Communication Skills,MIDTERM,50.0,35.8,1
36,Communication Skills,FINAL,100.0,72.8,1
37,Mathematics,TEST1,20.0,17.3,1
37,Mathematics,TEST2,20.0,15.1,1
37,Mathematics,MIDTERM,50.0,40.1,1
37,Mathematics,FINAL,100.0,81.2,1
37,Electronics,TEST1,20.0,13.2,1
37,Electronics,TEST2,20.0,15.1,1
37,Electronics,MIDTERM,50.0,35.1,1
37,Electronics,FINAL,100.0,67.6,1
